date,follower,likes,video_view,article_view
2022-06-24,529591,3558809,26398426,110102
2022-06-23,528248,3544097,26215372,109834
2022-06-22,526281,3533820,25974794,109564
2022-06-21,524021,3511330,25701684,109283
2022-06-20,522161,3490067,25539180,109063
2022-06-19,520809,3482198,25213234,108774
2022-06-18,519400,3461314,25088163,108500
2022-06-17,518235,3449029,24939335,108249
2022-06-16,517441,3438120,24863135,108025
2022-06-15,516302,3434945,24785892,107747
2022-06-14,515268,3427385,24706748,107484
2022-06-13,514336,3423810,24626748,107232
2022-06-12,513418,3420068,24516553,106984
2022-06-11,512547,3414842,24324661,106694
2022-06-10,511740,3398968,24241398,106424
