date,follower
2022-07-24,1814
2022-07-23,1812
2022-07-22,1811
2022-07-21,1811
2022-07-20,1809
2022-07-19,1810
2022-07-18,1808
2022-07-17,1806
2022-07-16,1805
2022-07-15,1806
2022-07-14,1804
2022-07-13,1801
2022-07-12,1798
2022-07-11,1797
2022-07-10,1795
2022-07-09,1793
2022-07-08,1793
2022-07-07,1793
2022-07-06,1792
2022-07-05,1791
2022-07-04,1785
2022-07-03,1784
2022-07-02,1780
2022-07-01,1778
2022-06-30,1778
2022-06-29,1777
2022-06-28,1776
2022-06-27,1773
2022-06-26,1771
2022-06-25,1768
2022-06-24,1766
2022-06-23,1763
2022-06-22,1756
2022-06-21,1743
2022-06-20,1737
2022-06-19,1734
2022-06-18,1734
2022-06-17,1733
2022-06-16,1734
2022-06-15,1737
2022-06-14,1738
2022-06-13,1739
2022-06-12,1738
2022-06-11,1736
2022-06-10,1736
2022-06-09,1736
2022-06-08,1737
2022-06-07,1736
2022-06-06,1734
